age_group,prop_Female,prop_Male,lcl_Female,lcl_Male,ucl_Female,ucl_Male
18-29,0.038461538461538464,0,0.010611711001315291,0,0.1298118915745576,0.14311661845042678
30-44,0,0.30434782608695654,0,0.15604024453214027,0.07865159873288834,0.508657562687592
45-59,0.058823529411764705,0.1875,0.016282655210122746,0.06591599071428143,0.19093606904280996,0.4300888096197414
60-69,0,0.25,0,0.07147921275210903,0.14311661845042678,0.590724569689831
